conversation_id,operator_id,created_at
session_04c8e802-4de1-4229-b7aa-56ddbce777b9,3c15b3e0-4176-42ae-be46-8143efcc09f8,2019-04-04 9:16
session_04cc9095-51af-456e-af1f-fb32644b9790,4abce861-320d-41fa-a1ad-a17272912e21,2019-04-16 1:16
session_04d226c4-eab9-4355-a0c7-7092593631bf,,2019-03-05 12:40
session_04d6f826-ce8f-4092-a220-c1ee404e4c71,bfee10c9-5503-490b-b1ab-c47cb3d8f189,2019-04-09 16:20
session_04ddd280-98a4-48d9-9e26-ea802500eeb8,bfee10c9-5503-490b-b1ab-c47cb3d8f189,2019-04-02 17:23
session_04f6a63b-5aa3-4c7e-869f-19d665e9b700,52725dc0-194a-40d1-ad68-3fad5e41eaa4,2019-03-27 19:00
session_05119744-39b8-4600-a1ea-81b500d1dd19,fc4c2882-61c8-4da6-aa62-673416f7d96d,2019-03-15 22:27
session_05205a8e-db09-4e8d-a5b6-3d2b01838b10,9acd257a-3cad-47c3-9d41-c67554431b79,2019-04-06 20:12
session_05251a4c-45bc-4db9-9277-0f67296e7c2c,ada32a6d-0203-483f-81fd-616c85ee76cf,2019-04-11 13:43
session_05654aeb-218c-4773-9c6e-960c590c5757,22411e0f-91f2-47fe-bca6-ac9b4ea36f32,2019-04-13 8:54
session_0570f124-3e73-4d5b-a32b-0ab3b7aab0f6,,2019-04-22 3:11
session_0579a456-1a55-45a8-9e80-dcf2ca94ed51,ada32a6d-0203-483f-81fd-616c85ee76cf,2019-04-12 0:55
session_05852f96-718e-4da4-95ef-6c23351b324f,a68822ba-6776-49c8-b79d-76b0454b742e,2019-03-08 11:50
session_059a7501-87bc-48ea-b2a0-632f318f4af0,f0feaceb-9eba-438c-ad0f-f4d2ec861962,2019-03-26 2:00
session_059a9083-28f0-41f6-9920-a1f8378979e2,,2019-03-21 5:16
session_059d373d-e4c2-402c-b61c-1a55b681d4a8,,2019-03-15 11:53
session_05a6b604-2132-4f69-918c-601de762d9f7,f0feaceb-9eba-438c-ad0f-f4d2ec861962,2019-03-26 19:39
session_05afe77e-9b33-4a93-850c-46ed9435081a,bfee10c9-5503-490b-b1ab-c47cb3d8f189,2019-04-11 18:50
session_05d63ba4-bd78-4efe-ac6d-ff9029b0c91c,0f286ad2-5939-4c36-9327-e3af45e28672,2019-04-16 17:32
session_05e9b71f-1238-4f28-ad02-d4db760e22a3,0f286ad2-5939-4c36-9327-e3af45e28672,2019-03-05 13:22
session_05ea6ee2-057d-41c7-adbd-60eae9c0e925,a68822ba-6776-49c8-b79d-76b0454b742e,2019-04-07 16:43
session_0605539d-c48c-49ce-abd5-0be5c3d5acf5,52725dc0-194a-40d1-ad68-3fad5e41eaa4,2019-04-02 18:52
session_0606f5ab-dbe6-49a4-87df-10a19aa1f6d2,f0feaceb-9eba-438c-ad0f-f4d2ec861962,2019-03-09 22:21
session_060bbb9c-98fe-4736-9264-5e3320d43113,bd4972a2-318f-4651-9001-9a97ea3db235,2019-03-19 23:53
session_06171d6c-179e-46ee-87fc-2826a5e4be25,,2019-03-19 22:34
